DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2021,49.458,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2021,28.361,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2021,38.134,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,NLD,C26_27,W,PT_EXGR,A,2021,38.941,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MEX,C26_27,W,PT_EXGR,A,2021,50.751,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,KOR,C26_27,W,PT_EXGR,A,2021,27.801,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,JPN,C26_27,W,PT_EXGR,A,2021,20.336,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,DEU,C26_27,W,PT_EXGR,A,2021,26.882,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,VNM,C26_27,W,PT_EXGR,A,2018,51.893,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,THA,C26_27,W,PT_EXGR,A,2018,51.532,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,SGP,C26_27,W,PT_EXGR,A,2018,46.216,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,PHL,C26_27,W,PT_EXGR,A,2018,44.69,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2018,53.278,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2018,24.419,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2018,34.997,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,NLD,C26_27,W,PT_EXGR,A,2018,54.769,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MEX,C26_27,W,PT_EXGR,A,2018,53.286,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,KOR,C26_27,W,PT_EXGR,A,2018,27.58,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,JPN,C26_27,W,PT_EXGR,A,2018,18.698,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,DEU,C26_27,W,PT_EXGR,A,2018,25.742,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,VNM,C26_27,W,PT_EXGR,A,2019,53.843,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,THA,C26_27,W,PT_EXGR,A,2019,48.703,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,SGP,C26_27,W,PT_EXGR,A,2019,46.839,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,PHL,C26_27,W,PT_EXGR,A,2019,49.168,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MYS,C26_27,W,PT_EXGR,A,2019,50.987,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IDN,C26_27,W,PT_EXGR,A,2019,22.414,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,IND,C26_27,W,PT_EXGR,A,2019,35.399,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,NLD,C26_27,W,PT_EXGR,A,2019,45.276,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,MEX,C26_27,W,PT_EXGR,A,2019,48.386,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,KOR,C26_27,W,PT_EXGR,A,2019,28.08,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,JPN,C26_27,W,PT_EXGR,A,2019,18.02,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_FVA,DEU,C26_27,W,PT_EXGR,A,2019,25.754,0
