year,country,iso3,flow,value_usd_millions,source_file,source_artifact,source_sha256,source_flag,missing_or_nonreported,negative_value,extreme_over_10000_usd_millions,log1p_value_if_reported
2017,Mexico,MEX,china_outward_fdi_usd_millions,-66.867,2017_outward.xlsx,data/raw/fdi/2017_outward.xlsx,2f01f6fa0b448eec9e01e926cfe1fe7aef99dfb137f3329178d10429b77c082b,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,True,False,0.0
2017,Germany,DEU,china_outward_fdi_usd_millions,92395.63109,2017_outward.xlsx,data/raw/fdi/2017_outward.xlsx,2f01f6fa0b448eec9e01e926cfe1fe7aef99dfb137f3329178d10429b77c082b,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,11.433845796900156
2017,Netherlands,NLD,china_outward_fdi_usd_millions,,2017_outward.xlsx,data/raw/fdi/2017_outward.xlsx,2f01f6fa0b448eec9e01e926cfe1fe7aef99dfb137f3329178d10429b77c082b,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Malaysia,MYS,china_inward_fdi_usd_millions,8141.46879698,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,9.004848705025147
2021,Vietnam,VNM,china_inward_fdi_usd_millions,115.837076,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,4.7607804515302545
2021,Singapore,SGP,china_inward_fdi_usd_millions,168906.94048728,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,12.037109114640966
2021,Thailand,THA,china_inward_fdi_usd_millions,4328.81349312,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,8.37327974688641
2021,India,IND,china_inward_fdi_usd_millions,621.68559539,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,6.434041729107233
2021,Indonesia,IDN,china_inward_fdi_usd_millions,932.16950062,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,6.838586857037106
2021,Philippines,PHL,china_inward_fdi_usd_millions,1884.6505953,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,7.542028183729056
2021,Japan,JPN,china_inward_fdi_usd_millions,211807.7519945,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,12.263439033271634
2021,South Korea,KOR,china_inward_fdi_usd_millions,,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Mexico,MEX,china_inward_fdi_usd_millions,105.24145728,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,4.665714402501519
2021,Germany,DEU,china_inward_fdi_usd_millions,97180.08801072,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,11.484331403726816
2021,Netherlands,NLD,china_inward_fdi_usd_millions,,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Malaysia,MYS,china_outward_fdi_usd_millions,3026.10179182471,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,8.015360936412938
2021,Vietnam,VNM,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Singapore,SGP,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Thailand,THA,china_outward_fdi_usd_millions,4432.65721851406,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,8.3969800796809
2021,India,IND,china_outward_fdi_usd_millions,343.595437569395,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,5.8423710842191685
2021,Indonesia,IDN,china_outward_fdi_usd_millions,18539.2488233596,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,9.82769925992297
2021,Philippines,PHL,china_outward_fdi_usd_millions,742.188334620081,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,6.610949491224776
2021,Japan,JPN,china_outward_fdi_usd_millions,143045.273469696,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,11.870923447595041
2021,South Korea,KOR,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
2021,Mexico,MEX,china_outward_fdi_usd_millions,32.553,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,False,3.5131262781980133
2021,Germany,DEU,china_outward_fdi_usd_millions,107666.0886,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,False,False,True,11.586799232414455
2021,Netherlands,NLD,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart,True,False,False,
