year,country,iso3,china_inward_fdi_usd_millions,china_outward_fdi_usd_millions,source_artifacts,source_hashes,any_reported_fdi,source_flag,source_coverage_note
2021,Germany,DEU,97180.08801072,107666.0886,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,India,IND,621.68559539,343.595437569395,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Indonesia,IDN,932.16950062,18539.2488233596,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Japan,JPN,211807.7519945,143045.273469696,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Malaysia,MYS,8141.46879698,3026.10179182471,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Mexico,MEX,105.24145728,32.553,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Netherlands,NLD,,,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,False,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Philippines,PHL,1884.6505953,742.188334620081,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Singapore,SGP,168906.94048728,,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,South Korea,KOR,,,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,False,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Thailand,THA,4328.81349312,4432.65721851406,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
2021,Vietnam,VNM,115.837076,,data/raw/fdi/2021_inward.xlsx | data/raw/fdi/2021_outward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437 | d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,True,IMF_CDIS_reporter_positions_by_immediate_counterpart,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.
