classification,reporter_code,reporter_iso3,reporter,partner_code,partner_iso3,partner,partner_is_group,flow,year,cmd_code,trade_value,is_reported_api_field,is_aggregate_api_field,source_flag,fetched_at_utc
H6,484,MEX,Mexico,0,W00,World,True,M,2022,8542,26341937985.0,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H6,484,MEX,Mexico,0,W00,World,True,X,2022,8542,4188422877.0,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,276,DEU,Germany,0,W00,World,True,M,2017,8542,17413854409.61,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,276,DEU,Germany,0,W00,World,True,X,2017,8542,15177647839.784,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H6,276,DEU,Germany,0,W00,World,True,M,2022,8542,23886749040.484,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H6,276,DEU,Germany,0,W00,World,True,X,2022,8542,20196987611.405,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,528,NLD,Netherlands,0,W00,World,True,M,2017,8542,10625730746.822,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,528,NLD,Netherlands,0,W00,World,True,X,2017,8542,9306187350.076,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H6,528,NLD,Netherlands,0,W00,World,True,M,2022,8542,5686629912.472,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H6,528,NLD,Netherlands,0,W00,World,True,X,2022,8542,5232775519.889,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
