country,iso3,year,N2,N3,N4,V1,V2,world_import_value,world_export_value,china_import_value,us_export_value,import_partner_share_sum,source_flag
Malaysia,MYS,2022,0.17060078768662057,0.07842041532556837,0.013378584625253896,0.14835342708428495,13,53537634824.92,78556470551.431,9133562672.01,6160431047.154,0.9999999999999626,UN_Comtrade_official_reporter_HS8542
Vietnam,VNM,2022,0.1802424888623401,0.04658925131419278,0.008397362611103156,0.20626589737214665,9,54343666981.446,13257879104.012,9795037790.642,617674661.47,1.0000000000000553,UN_Comtrade_official_reporter_HS8542
Singapore,SGP,2022,0.07656767929125753,0.04218408938093463,0.003229937826913145,0.24749743337919303,8,107960571688.397,121992934040.502,8266290429.138,5146160833.407,1.0000000000000002,UN_Comtrade_official_reporter_HS8542
Thailand,THA,2022,0.12980956761764528,0.07962139178248578,0.010335618440399616,0.1518538184275982,12,19039358936.845,9308113258.867,2471490951.309,741124932.54,1.0000000000001579,UN_Comtrade_official_reporter_HS8542
India,IND,2022,0.31374620449191054,0.036047926552095676,0.01130990013552318,0.19494815213222544,9,16122209275.129,476192970.411,5058281968.096,17165769.222,0.9999999999998759,UN_Comtrade_official_reporter_HS8542
Indonesia,IDN,2022,0.25932636812982807,0.04108624348376469,0.010654746302742511,0.1918399225778774,10,3959818735.0,517694451.755,1026885411.0,21270120.295,0.9999999999999999,UN_Comtrade_official_reporter_HS8542
Philippines,PHL,2022,0.08986435550226217,0.08473838254154048,0.00761496013339968,0.14038537550443864,11,17265725474.0,28943505451.0,1551573292.0,2452625837.0,1.0000000000000002,UN_Comtrade_official_reporter_HS8542
Japan,JPN,2022,0.08309859047403963,0.03091008243011236,0.0025685842813787147,0.36459013074275265,10,31666849627.998,33627038485.197,2631470568.84,1039414531.458,1.0,UN_Comtrade_official_reporter_HS8542
South Korea,KOR,2022,0.3766776531697877,0.011355940339543727,0.004277528956635453,0.25272626820428734,11,62400258370.0,112847160489.0,23504782880.0,1281485622.0,1.0,UN_Comtrade_official_reporter_HS8542
Mexico,MEX,2022,0.18542713056197335,0.7796026327548874,0.14455947917029865,0.16879084540358938,12,26341937985.0,4188422877.0,4884509974.0,3265305502.0,1.0,UN_Comtrade_official_reporter_HS8542
Germany,DEU,2022,0.13143437192244165,0.027256599322125572,0.003582454012645223,0.1078662428363596,12,23886749040.484,20196987611.405,3139539857.405,550501198.838,0.9999999999998745,UN_Comtrade_official_reporter_HS8542
Netherlands,NLD,2022,0.07792687978183632,0.12791710689229008,0.009968181010835795,0.07792453574154198,15,5686629912.472,5232775519.889,443141325.553,669361505.521,1.0000000000005276,UN_Comtrade_official_reporter_HS8542
