fetched_at_utc,document_number,api_url,detail_status,detail_path,detail_sha256,raw_text_url,raw_text_status,raw_text_path,raw_text_sha256,raw_text_bytes,source_flag,error
2026-09-14T02:45:05+00:00,2022-04300,https://www.federalregister.gov/api/v1/documents/2022-04300.json,downloaded,data/raw/bis/documents/2022-04300.json,0974e27bb754883bf9fd686198e6aedab13c39f2836879ee212d4adf9085bb63,https://www.federalregister.gov/documents/full_text/text/2022/03/03/2022-04300.txt,downloaded,data/raw/bis/documents/2022-04300.txt,45d3033c05ad860fa66b434b99ef7391d4289364c4a1e7865f4af72f42e6f688,194041,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:06+00:00,2022-04819,https://www.federalregister.gov/api/v1/documents/2022-04819.json,downloaded,data/raw/bis/documents/2022-04819.json,427521fda87a076cbf439ecd9358c622869311cf8f1e7f90577d1b5c2cd930c9,https://www.federalregister.gov/documents/full_text/text/2022/03/08/2022-04819.txt,downloaded,data/raw/bis/documents/2022-04819.txt,57c4be8a81a0f3752a6115286a6e05d162b93a631aa4e1209c03feea55bdebde,122834,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:07+00:00,2022-04925,https://www.federalregister.gov/api/v1/documents/2022-04925.json,downloaded,data/raw/bis/documents/2022-04925.json,4c3728e3c09350a66b986f28cffb6e56f7803351e707cc68819f4fdffdaf7930,https://www.federalregister.gov/documents/full_text/text/2022/03/09/2022-04925.txt,downloaded,data/raw/bis/documents/2022-04925.txt,0723d74f1cc86f5557f8a67833ebe1f72fe34b2f2c12f25132eed16dcad3d5c4,94527,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:08+00:00,2022-07211,https://www.federalregister.gov/api/v1/documents/2022-07211.json,downloaded,data/raw/bis/documents/2022-07211.json,86aa8d6f3fbed4a368d36da8f399487e9985d949ba973bb974bc5717cc705f3b,https://www.federalregister.gov/documents/full_text/text/2022/04/06/2022-07211.txt,downloaded,data/raw/bis/documents/2022-07211.txt,e572f467ca8a94ca6eceed94260f369498dbfb74a8b5cdc95c3d26abb07bbb6e,11481,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:09+00:00,2022-07284,https://www.federalregister.gov/api/v1/documents/2022-07284.json,downloaded,data/raw/bis/documents/2022-07284.json,f37fcbb751c07f64676dc7d8c62d211e0b898605e3aaf31d6977fae37c8dabac,https://www.federalregister.gov/documents/full_text/text/2022/04/07/2022-07284.txt,downloaded,data/raw/bis/documents/2022-07284.txt,38e17e5f1f53cabdd3ef2fe3f4f044e2636a118ef44e35129dc0a13fbcd87b3c,123157,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:09+00:00,2022-07643,https://www.federalregister.gov/api/v1/documents/2022-07643.json,downloaded,data/raw/bis/documents/2022-07643.json,ccf37fd9ab58bbfd23937196635dcc259bceeb5bdb59db6ef36af713051fbce5,https://www.federalregister.gov/documents/full_text/text/2022/04/11/2022-07643.txt,downloaded,data/raw/bis/documents/2022-07643.txt,1fe7f8cc51a7a64f459bed316d6da4d210cdceb033df952e53f35f57def416dd,23922,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:10+00:00,2022-11885,https://www.federalregister.gov/api/v1/documents/2022-11885.json,downloaded,data/raw/bis/documents/2022-11885.json,0182c29e1c99866eabb6053f90717d868b758796a56c4c265f125b974c8694b4,https://www.federalregister.gov/documents/full_text/text/2022/06/06/2022-11885.txt,downloaded,data/raw/bis/documents/2022-11885.txt,e6114d39fe4c3075901937f619840dd3f8a6fb4b1326f6239d53b89b179501b3,231916,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:11+00:00,2022-12144,https://www.federalregister.gov/api/v1/documents/2022-12144.json,downloaded,data/raw/bis/documents/2022-12144.json,df05c2690563bac3dcce3e053e189eaeda773c680b61e88fc875d22d82241cc4,https://www.federalregister.gov/documents/full_text/text/2022/06/06/2022-12144.txt,downloaded,data/raw/bis/documents/2022-12144.txt,f18482ab7b1d4cf8ebcb8aa6aa773d86d7749b057f4f4c9f147570cfd25bd029,121475,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:12+00:00,2022-14069,https://www.federalregister.gov/api/v1/documents/2022-14069.json,downloaded,data/raw/bis/documents/2022-14069.json,742db36fbf52ed001781db5446e95365df00dda3873dd80573233331b2f67759,https://www.federalregister.gov/documents/full_text/text/2022/06/30/2022-14069.txt,downloaded,data/raw/bis/documents/2022-14069.txt,0fa6c3a438e57450f2bd3082ae76d71414762f5b4201877cb700ef60600fcec2,98345,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:12+00:00,2022-17125,https://www.federalregister.gov/api/v1/documents/2022-17125.json,downloaded,data/raw/bis/documents/2022-17125.json,31ed7c80c892538ad952e5b02401b302f8a55b4c8dcb1e21cc7b855794c35d96,https://www.federalregister.gov/documents/full_text/text/2022/08/15/2022-17125.txt,downloaded,data/raw/bis/documents/2022-17125.txt,9c413f5b7a09dc67b5b49b6fe4bee81c05b6dd96b35c49c2cc118eff2e0ce722,49850,Federal_Register_official_API_and_full_text,
