year,indicator,indicator_label,n,missing_n,mean,std,min,median,max
2017,p1_unga_relative_alignment,P1 UNGA relative alignment,12,0,0.24784184093060954,0.20557247215866023,0.0622392319140174,0.12509437606098933,0.5971522612414364
2017,p2_us_formal_alliance,P2 active formal defense tie (source-aware),12,0,0.5,0.5222329678670935,0.0,0.5,1.0
2017,n1_electronics_foreign_va_share,N1 electronics foreign value-added share,12,0,40.762499999999996,14.836784658408977,19.489,50.025999999999996,54.578
2017,n2_china_hs8542_import_share,N2 China HS8542 import share,12,0,0.13276766665289996,0.0959839471747126,0.0254084112499978,0.09244027042498876,0.3058316968418555
2017,n3_us_hs8542_export_share,N3 US HS8542 export share,12,0,0.11824773985118131,0.24098237166215442,0.0067256945265525,0.0493460759768536,0.8782803196912339
2017,n4_dual_dependency,N4 dual dependency,12,0,0.025785353522767965,0.06856272584719769,0.0007461781670353,0.00395964562445045,0.2420920338559375
2017,v1_hs8542_import_hhi,V1 HS8542 import HHI,12,0,0.17623980439417486,0.05506039706628854,0.0908044095950603,0.16597944454065228,0.2908181470136886
2017,v2_effective_supplier_count,V2 effective supplier count,12,0,11.25,1.9128750375000738,9.0,10.5,16.0
2022,p1_unga_relative_alignment,P1 UNGA relative alignment,12,0,0.3769442106779696,0.22686531782354227,0.1413240320981717,0.2694457398386346,0.7416784255442772
2022,p2_us_formal_alliance,P2 active formal defense tie (source-aware),12,0,0.5,0.5222329678670935,0.0,0.5,1.0
2022,n1_electronics_foreign_va_share,N1 electronics foreign value-added share,12,0,41.455499999999994,11.237901870658305,25.24,42.9745,55.97
2022,n2_china_hs8542_import_share,N2 China HS8542 import share,12,0,0.17289350645766186,0.09811117721295458,0.0765676792912575,0.15101757980453104,0.3766776531697877
2022,n3_us_hs8542_export_share,N3 US HS8542 export share,12,0,0.1154775051766284,0.21160796143895746,0.0113559403395437,0.04438667034756365,0.7796026327548874
2022,n4_dual_dependency,N4 dual dependency,12,0,0.0191564447922607,0.039654288764540246,0.0025685842813787,0.0091827718109694,0.1445594791702986
2022,v1_hs8542_import_hhi,V1 HS8542 import HHI,12,0,0.18775350411719124,0.07589586915276836,0.0779245357415419,0.18031538399073335,0.3645901307427526
2022,v2_effective_supplier_count,V2 effective supplier count,12,0,11.0,1.954016841836789,8.0,11.0,15.0
