year,country,iso3,flow,value_usd_millions,source_file,source_artifact,source_sha256,source_flag
2017,Netherlands,NLD,china_outward_fdi_usd_millions,,2017_outward.xlsx,data/raw/fdi/2017_outward.xlsx,2f01f6fa0b448eec9e01e926cfe1fe7aef99dfb137f3329178d10429b77c082b,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Malaysia,MYS,china_inward_fdi_usd_millions,8141.46879698,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Vietnam,VNM,china_inward_fdi_usd_millions,115.837076,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Singapore,SGP,china_inward_fdi_usd_millions,168906.94048728,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Thailand,THA,china_inward_fdi_usd_millions,4328.81349312,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,India,IND,china_inward_fdi_usd_millions,621.68559539,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Indonesia,IDN,china_inward_fdi_usd_millions,932.16950062,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Philippines,PHL,china_inward_fdi_usd_millions,1884.6505953,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Japan,JPN,china_inward_fdi_usd_millions,211807.7519945,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,South Korea,KOR,china_inward_fdi_usd_millions,,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Mexico,MEX,china_inward_fdi_usd_millions,105.24145728,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Germany,DEU,china_inward_fdi_usd_millions,97180.08801072,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Netherlands,NLD,china_inward_fdi_usd_millions,,2021_inward.xlsx,data/raw/fdi/2021_inward.xlsx,3b2fd6d4e501bdaf318117ddfd383f55da0f10f4defa700a6141cd0bfefe4437,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Malaysia,MYS,china_outward_fdi_usd_millions,3026.10179182471,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Vietnam,VNM,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Singapore,SGP,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Thailand,THA,china_outward_fdi_usd_millions,4432.65721851406,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,India,IND,china_outward_fdi_usd_millions,343.595437569395,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Indonesia,IDN,china_outward_fdi_usd_millions,18539.2488233596,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Philippines,PHL,china_outward_fdi_usd_millions,742.188334620081,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Japan,JPN,china_outward_fdi_usd_millions,143045.273469696,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,South Korea,KOR,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Mexico,MEX,china_outward_fdi_usd_millions,32.553,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Germany,DEU,china_outward_fdi_usd_millions,107666.0886,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
2021,Netherlands,NLD,china_outward_fdi_usd_millions,,2021_outward.xlsx,data/raw/fdi/2021_outward.xlsx,d5d48eff19e458ed0e84f7a527a647aa8032d33433dfadfa5d7cfa3e30faffd9,IMF_CDIS_reporter_positions_by_immediate_counterpart
